"","Log_ID","RESERVE","AREA","ALTITUDE","TEMPR","PRECIP","CONNECT10","CONNECT100","CONNECT1","REGION","REGION.sorted.N.S","TIMES","DBH.CM","AVERDP","Tree.Type..Simple.","MOSS.cover","BARK","SOIL_CON","log.AREA"
"1","AMW025","AMW",-1.69685770681309,-1.02409588689002,-1.13584698123623,-0.181314738610043,-0.630479559234105,-0.524740748619677,-1.28323630527931,-1.26568660002154,"R3","B",-0.0468814030392125,0.0273376589129934,"Fallen",-1.69685770681309,-1.69685770681309,-1.69685770681309,1.09861228866811
"2","AMW026","AMW",-1.69685770681309,-1.02409588689002,-1.13584698123623,-0.181314738610043,-0.630479559234105,-0.524740748619677,-1.28323630527931,-1.26568660002154,"R3","B",1.20680106025658,0.0273376589129934,"Broken",-1.69685770681309,-1.69685770681309,-1.69685770681309,1.09861228866811
"3","AMW207","AMW",-1.69685770681309,-1.02409588689002,-1.13584698123623,-0.181314738610043,-0.630479559234105,-0.524740748619677,-1.28323630527931,-1.26568660002154,"R3","B",-0.0468814030392125,0.0273376589129934,"Fallen",-1.69685770681309,-1.69685770681309,-1.69685770681309,1.09861228866811
"4","AMW028","AMW",-1.69685770681309,-1.02409588689002,-1.13584698123623,-0.181314738610043,-0.630479559234105,-0.524740748619677,-1.28323630527931,-1.26568660002154,"R3","B",0.162065674176754,0.0273376589129934,"Broken",-1.69685770681309,-1.69685770681309,-1.69685770681309,1.09861228866811
"5","AMW029","AMW",-1.69685770681309,-1.02409588689002,-1.13584698123623,-0.181314738610043,-0.630479559234105,-0.524740748619677,-1.28323630527931,-1.26568660002154,"R3","B",1.20680106025658,-1.46592593941642,"Broken",-1.69685770681309,-1.69685770681309,-1.69685770681309,1.09861228866811
"6","ASK176","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.631933219243918,-0.719294140251711,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"7","ASK177","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-1.04982737367585,-0.719294140251711,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"8","ASK178","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.214039064811985,0.0273376589129934,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"9","ASK179","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-1.3841426972214,-1.46592593941642,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"10","ASK180","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.79909088101669,0.773969458077698,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"11","ASK181","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.882669711903077,1.5206012572424,"fallen",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"12","ASK182","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.590143803800724,-1.46592593941642,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"13","ASK183","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.548354388357531,-1.46592593941642,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"14","ASK184","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-1.00803795823266,0.773969458077698,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"15","ASK185","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-1.09161678911904,0.0273376589129934,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"16","ASK186","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.422986142027951,0.0273376589129934,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"17","ASK187","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-1.30056386633501,-1.46592593941642,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
"18","ASK188","ASK",-1.51712251658194,-0.824559374969353,-0.0232722353980489,0.11819480927983,-1.04517251327639,-1.12161797145943,-1.28687956867259,-0.315209306518775,"R1","B",-0.297617895698372,0.773969458077698,"Broken",-1.51712251658194,-1.51712251658194,-1.51712251658194,1.6094379124341
